Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
1990,-,-,-,-,17395914,0,0,0,0,0,0
1991,-,-,-,-,16854762,0,0,0,0,0,0
1992,-,-,-,-,17838020,0,0,0,0,0,0
1993,-,-,-,-,16325299,743601,4198400,0,0,0,0
1994,-,-,-,-,15753494,644640,5322990,0,0,0,0
1995,-,-,-,-,14895916,986458,4286690,0,0,0,0
1996,-,-,-,-,13356861,977087,4853712,0,0,0,0
1997,-,-,-,-,12014967,1028200,4573112,0,0,0,1404100
1998,-,-,-,-,11480438,977800,5063880,0,0,0,1378527
1999,-,-,-,-,11686760,1027400,3968648,0,0,0,1491142
2000,-,-,-,-,12129079,947322,5998501,0,0,0,1653841
2001,-,-,-,-,12116301,943383,5096502,0,0,0,1039510
2002,-,-,-,-,10593526,1093121,4646641,0,0,0,953319
2003,-,-,-,-,9592247,995567,4181701,0,0,0,905344
2004,-,-,-,-,9572719,884285,5426539,0,1455861,0,597042
2005,-,-,-,-,8661293,801119,6616791,0,2383651,0,960359
2006,-,-,-,-,9876879,740253,12794268,0,5805941,0,1045409
2007,-,-,-,-,11390082,739958,13740317,0,2938538,0,68615
2008,-,-,-,-,10488915,823931,14442227,0,6573465,0,166860
2009,-,-,-,-,10395713,988030,15628057,0,6559572,0,411691
2010,-,-,-,-,10548835,835969,14697804,0,3463073,0,1255578
2011,-,-,-,-,10403937,895691,15473378,0,3477100,0,1411844
2012,-,-,-,-,10497017,941497,17670368,0,3335772,0,1329600
2013,-,-,-,-,11698233,1162934,23925555,0,3469268,0,836073
2014,-,-,-,-,14384289,1794704,32274619,0,3492255,0,1052746
2015,-,-,-,-,16110276,3223460,37494172,0,3687759,0,870688
2016,-,-,-,-,17184286,2729521,36627127,0,3242206,0,803084
2017,-,-,-,-,19940566,3089507,39118516,0,3853982,0,1596125
2018,-,-,-,-,20359553,3501629,41425168,2592947,3851981,0,1182756
2019,-,-,-,-,20414669,4148141,43503362,3582202,4217774,2304506,3857179
2020,-,-,-,-,20661846,4184926,48557439,3862102,4179331,4369021,3939756
2021,-,-,-,-,21327285,4616135,51322623,4406432,4338192,6731133,4223095
2022,-,-,-,-,29429078,5442319,57321197,5217456,4428314,23957770,6008804
2023,-,-,-,-,31637408,6858499,63251367,5755363,4358188,26095474,5945550
2024,-,-,-,-,30958200,8352712,68131711,5875359,4360087,27279257,3820662
2025,-,-,-,-,30490994,8414659,63852580,6064217,4431462,27102295,2426293
